"TOA5","13030","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20231006.CR6","64821","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-01 00:00:00",40672,12.87,5.4,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.29107,96.67314,2.21524,13.33553,97.23778,2.306656,260101,5525,2.215,26.13,46.26,30.07,94.29,12.96,1.41,4.84,2.04,1.35,4.17,12.46,15.86,0,2.73,1.923,4.17,11.3,1.19,8.564789,2.319536
"2026-01-01 00:10:00",40673,12.87,5.443,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.28974,96.65842,2.213333,13.36035,97.37811,2.291283,260101,10525,2.219,26.12,46.24,30.06,94.29,12.96,1.5,5.17,2.06,1.37,4.18,12.5,15.82,0,2.75,1.934,4.18,11.28,1.19,8.565244,2.302098
"2026-01-01 00:20:00",40674,12.87,5.509,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.27984,96.58827,2.21402,13.37227,97.40786,2.269699,260101,11525,2.218,26.12,46.24,30.06,94.26,12.96,1.44,4.95,2.04,1.36,4.19,12.52,15.94,0,2.74,1.928,4.11,11.29,1.19,8.567772,2.283726
"2026-01-01 00:30:00",40675,12.88,5.633,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.31284,96.83148,2.21524,13.38126,97.46369,2.266067,260101,12525,2.217,26.12,46.25,30.06,94.25,12.96,1.44,4.92,2.01,1.32,4.15,12.41,16.03,0,2.74,1.927,4.09,11.29,1.19,8.566224,2.274508
"2026-01-01 00:40:00",40676,12.72,5.832,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.29783,96.78294,2.238235,13.39625,97.50733,2.241348,260101,13525,2.227,26.12,46.23,30.05,94.32,12.96,1.4,4.8,2.05,1.36,4.16,12.44,15.82,0,2.73,1.923,4.14,11.14,1.19,8.56549,2.261389
"2026-01-01 00:50:00",40677,12.69,6.181,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.29585,96.73381,2.22509,13.38299,97.36052,2.222328,260101,14525,2.249,26.15,46.24,30.06,94.3,12.95,1.35,4.62,2.01,1.32,4.17,12.47,16.1,0,2.74,1.927,4.08,11.13,1.19,8.566471,2.243745
"2026-01-01 01:00:00",40678,12.71,6.525,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.29099,96.73314,2.238235,13.40426,97.52838,2.227341,260101,15525,2.225,26.12,46.23,30.05,94.26,12.96,1.36,4.65,2.01,1.32,4.18,12.51,15.9,0,2.74,1.926,4.16,11.12,1.19,8.568618,2.250387
"2026-01-01 01:10:00",40679,12.79,6.783,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.32461,96.98484,2.241005,13.39425,97.47818,2.235825,260101,20525,2.225,26.11,46.21,30.04,94.27,12.96,1.39,4.73,2.03,1.34,4.17,12.46,15.86,0,2.73,1.921,4.16,11.12,1.19,8.55666,2.257877
