02/16/26 21:00:02 EST -0500 | ########## START ##########
02/16/26 21:00:02 EST -0500 | nebula: no process found
02/16/26 21:00:03 EST -0500 | ##########  END  ##########
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:outgoing endPort:0 groups:[] host:any ip: localIp: proto:0 startPort:0]"
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:incoming endPort:0 groups:[] host:any ip: localIp: proto:0 startPort:0]"
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Firewall started" firewallHash=498215dec4e5687a2353f51c10838c113bd1af35ef72b8e8c9f536986ada5417
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Main HostMap created" network=10.10.200.5/24 preferredRanges="[]"
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="punchy enabled"
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Loaded send_recv_error config" sendRecvError=always
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Nebula interface is active" boringcrypto=false build=1.7.1 interface=nebula1 network=10.10.200.5/24 udpAddr="0.0.0.0:4242"
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3746299860 localIndex=3746299860 remoteIndex=0 udpAddrs="[54.71.171.66:4242]" vpnIp=10.10.200.1
02/16/26 21:00:03 EST -0500 | time="2026-02-16T21:00:03-05:00" level=info msg="Handshake message received" certName=nebula_001 durationNs=143263026 fingerprint=f17bbbd73581e8910e0b9458be5d155ab5d1df90002e2c5f26a8896ab54608aa handshake="map[stage:2 style:ix_psk0]" initiatorIndex=3746299860 issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd remoteIndex=3746299860 responderIndex=43408766 sentCachedPackets=1 udpAddr="54.71.171.66:4242" vpnIp=10.10.200.1
02/16/26 21:00:12 EST -0500 | time="2026-02-16T21:00:12-05:00" level=info msg="Handshake message received" certName=nebula_015 fingerprint=9e6a1499cc68bfd5fb46c2517c1dbccf708382e0260a6012169f703c1fde7bfb handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2464122216 issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd remoteIndex=0 responderIndex=0 udpAddr="128.173.186.246:4242" vpnIp=10.10.200.15
02/16/26 21:00:12 EST -0500 | time="2026-02-16T21:00:12-05:00" level=info msg="Handshake message sent" certName=nebula_015 fingerprint=9e6a1499cc68bfd5fb46c2517c1dbccf708382e0260a6012169f703c1fde7bfb handshake="map[stage:2 style:ix_psk0]" initiatorIndex=2464122216 issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd remoteIndex=0 responderIndex=1045811416 sentCachedPackets=0 udpAddr="128.173.186.246:4242" vpnIp=10.10.200.15
02/16/26 21:00:32 EST -0500 | time="2026-02-16T21:00:32-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=1776615449 localIndex=1776615449 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
02/16/26 21:00:32 EST -0500 | time="2026-02-16T21:00:32-05:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=1776615449 localIndex=1776615449 remoteIndex=0 udpAddrs="[100.77.99.123:4242 174.206.35.37:9154 10.10.1.2:4242]" vpnIp=10.10.200.7
02/16/26 21:00:32 EST -0500 | time="2026-02-16T21:00:32-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
02/16/26 21:00:32 EST -0500 | time="2026-02-16T21:00:32-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=1776615449 localIndex=1776615449 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
