12/14/23 12:35:02 EST -0500 | ########## START ##########
12/14/23 12:35:02 EST -0500 | ##########  END  ##########
12/14/23 12:36:02 EST -0500 | ########## START ##########
12/14/23 12:36:03 EST -0500 | ##########  END  ##########
12/14/23 12:37:01 EST -0500 | ########## START ##########
12/14/23 12:37:02 EST -0500 | ##########  END  ##########
12/14/23 12:38:02 EST -0500 | ########## START ##########
12/14/23 12:38:02 EST -0500 | ##########  END  ##########
12/14/23 12:39:02 EST -0500 | ########## START ##########
12/14/23 12:39:03 EST -0500 | ##########  END  ##########
12/14/23 12:40:01 EST -0500 | ########## START ##########
12/14/23 12:40:02 EST -0500 | ##########  END  ##########
12/14/23 12:41:02 EST -0500 | ########## START ##########
12/14/23 12:41:02 EST -0500 | ##########  END  ##########
12/14/23 12:42:02 EST -0500 | ########## START ##########
12/14/23 12:42:03 EST -0500 | ##########  END  ##########
12/14/23 12:43:02 EST -0500 | ########## START ##########
12/14/23 12:43:02 EST -0500 | ##########  END  ##########
12/14/23 12:44:02 EST -0500 | ########## START ##########
12/14/23 12:44:02 EST -0500 | ##########  END  ##########
12/14/23 12:45:02 EST -0500 | ########## START ##########
12/14/23 12:45:03 EST -0500 | ##########  END  ##########
12/14/23 12:46:02 EST -0500 | ########## START ##########
12/14/23 12:46:02 EST -0500 | ##########  END  ##########
12/14/23 12:47:02 EST -0500 | ########## START ##########
12/14/23 12:47:02 EST -0500 | ##########  END  ##########
12/14/23 12:48:02 EST -0500 | ########## START ##########
12/14/23 12:48:03 EST -0500 | ##########  END  ##########
12/14/23 12:49:01 EST -0500 | ########## START ##########
12/14/23 12:49:02 EST -0500 | ##########  END  ##########
12/14/23 12:50:02 EST -0500 | ########## START ##########
12/14/23 12:50:02 EST -0500 | ##########  END  ##########
12/14/23 12:51:02 EST -0500 | ########## START ##########
12/14/23 12:51:03 EST -0500 | ##########  END  ##########
12/14/23 12:52:01 EST -0500 | ########## START ##########
12/14/23 12:52:02 EST -0500 | ##########  END  ##########
12/14/23 12:53:02 EST -0500 | ########## START ##########
12/14/23 12:53:02 EST -0500 | ##########  END  ##########
12/14/23 12:54:02 EST -0500 | ########## START ##########
12/14/23 12:54:03 EST -0500 | ##########  END  ##########
12/14/23 12:55:01 EST -0500 | ########## START ##########
12/14/23 12:55:02 EST -0500 | ##########  END  ##########
12/14/23 16:26:02 EST -0500 | ########## START ##########
12/14/23 16:26:02 EST -0500 | ##########  END  ##########
12/14/23 16:27:02 EST -0500 | ########## START ##########
12/14/23 16:27:03 EST -0500 | ##########  END  ##########
12/14/23 16:28:02 EST -0500 | ########## START ##########
12/14/23 16:28:03 EST -0500 | ##########  END  ##########
12/14/23 16:29:01 EST -0500 | ########## START ##########
12/14/23 16:29:02 EST -0500 | ##########  END  ##########
12/14/23 16:30:02 EST -0500 | ########## START ##########
12/14/23 16:30:02 EST -0500 | ##########  END  ##########
12/14/23 16:31:02 EST -0500 | ########## START ##########
12/14/23 16:31:03 EST -0500 | ##########  END  ##########
12/14/23 16:32:01 EST -0500 | ########## START ##########
12/14/23 16:32:02 EST -0500 | ##########  END  ##########
12/14/23 16:33:01 EST -0500 | ########## START ##########
12/14/23 16:33:02 EST -0500 | ##########  END  ##########
12/14/23 16:34:02 EST -0500 | ########## START ##########
12/14/23 16:34:03 EST -0500 | ##########  END  ##########
12/14/23 16:35:01 EST -0500 | ########## START ##########
12/14/23 16:35:02 EST -0500 | ##########  END  ##########
12/14/23 16:36:02 EST -0500 | ########## START ##########
12/14/23 16:36:02 EST -0500 | ##########  END  ##########
12/14/23 16:37:02 EST -0500 | ########## START ##########
12/14/23 16:37:03 EST -0500 | ##########  END  ##########
12/14/23 16:38:01 EST -0500 | ########## START ##########
12/14/23 16:38:02 EST -0500 | ##########  END  ##########
12/14/23 16:39:02 EST -0500 | ########## START ##########
12/14/23 16:39:02 EST -0500 | ##########  END  ##########
12/14/23 16:40:02 EST -0500 | ########## START ##########
12/14/23 16:40:03 EST -0500 | ##########  END  ##########
12/14/23 16:41:01 EST -0500 | ########## START ##########
12/14/23 16:41:02 EST -0500 | ##########  END  ##########
12/14/23 16:42:02 EST -0500 | ########## START ##########
12/14/23 16:42:02 EST -0500 | ##########  END  ##########
12/14/23 16:43:02 EST -0500 | ########## START ##########
12/14/23 16:43:03 EST -0500 | ##########  END  ##########
12/14/23 16:44:01 EST -0500 | ########## START ##########
12/14/23 16:44:02 EST -0500 | ##########  END  ##########
12/14/23 16:45:01 EST -0500 | ########## START ##########
12/14/23 16:45:02 EST -0500 | ##########  END  ##########
12/14/23 16:46:02 EST -0500 | ########## START ##########
12/14/23 16:46:03 EST -0500 | ##########  END  ##########
12/14/23 16:47:01 EST -0500 | ########## START ##########
12/14/23 16:47:02 EST -0500 | ##########  END  ##########
12/14/23 16:48:02 EST -0500 | ########## START ##########
12/14/23 16:48:02 EST -0500 | ##########  END  ##########
12/14/23 16:49:02 EST -0500 | ########## START ##########
12/14/23 16:49:03 EST -0500 | ##########  END  ##########
12/14/23 16:50:01 EST -0500 | ########## START ##########
12/14/23 16:50:02 EST -0500 | ##########  END  ##########
12/14/23 16:51:02 EST -0500 | ########## START ##########
12/14/23 16:51:02 EST -0500 | ##########  END  ##########
12/14/23 16:52:02 EST -0500 | ########## START ##########
12/14/23 16:52:03 EST -0500 | ##########  END  ##########
12/14/23 16:53:01 EST -0500 | ########## START ##########
12/14/23 16:53:02 EST -0500 | ##########  END  ##########
12/14/23 16:54:02 EST -0500 | ########## START ##########
12/14/23 16:54:02 EST -0500 | ##########  END  ##########
12/14/23 16:55:02 EST -0500 | ########## START ##########
12/14/23 16:55:03 EST -0500 | ##########  END  ##########
12/14/23 20:26:02 EST -0500 | ########## START ##########
12/14/23 20:26:03 EST -0500 | ##########  END  ##########
12/14/23 20:27:02 EST -0500 | ########## START ##########
12/14/23 20:27:02 EST -0500 | ##########  END  ##########
12/14/23 20:28:01 EST -0500 | ########## START ##########
12/14/23 20:28:02 EST -0500 | ##########  END  ##########
12/14/23 20:29:02 EST -0500 | ########## START ##########
12/14/23 20:29:02 EST -0500 | ##########  END  ##########
12/14/23 20:30:02 EST -0500 | ########## START ##########
12/14/23 20:30:03 EST -0500 | ##########  END  ##########
12/14/23 20:31:01 EST -0500 | ########## START ##########
12/14/23 20:31:02 EST -0500 | ##########  END  ##########
12/14/23 20:32:02 EST -0500 | ########## START ##########
12/14/23 20:32:02 EST -0500 | ##########  END  ##########
12/14/23 20:33:02 EST -0500 | ########## START ##########
12/14/23 20:33:03 EST -0500 | ##########  END  ##########
12/14/23 20:34:02 EST -0500 | ########## START ##########
12/14/23 20:34:02 EST -0500 | ##########  END  ##########
12/14/23 20:35:02 EST -0500 | ########## START ##########
12/14/23 20:35:03 EST -0500 | ##########  END  ##########
12/14/23 20:36:02 EST -0500 | ########## START ##########
12/14/23 20:36:02 EST -0500 | ##########  END  ##########
12/14/23 20:37:02 EST -0500 | ########## START ##########
12/14/23 20:37:03 EST -0500 | ##########  END  ##########
12/14/23 20:38:01 EST -0500 | ########## START ##########
12/14/23 20:38:02 EST -0500 | ##########  END  ##########
12/14/23 20:39:02 EST -0500 | ########## START ##########
12/14/23 20:39:03 EST -0500 | ##########  END  ##########
12/14/23 20:40:01 EST -0500 | ########## START ##########
12/14/23 20:40:02 EST -0500 | ##########  END  ##########
12/14/23 20:41:02 EST -0500 | ########## START ##########
12/14/23 20:41:03 EST -0500 | ##########  END  ##########
12/14/23 20:42:01 EST -0500 | ########## START ##########
12/14/23 20:42:02 EST -0500 | ##########  END  ##########
12/14/23 20:43:02 EST -0500 | ########## START ##########
12/14/23 20:43:03 EST -0500 | ##########  END  ##########
12/14/23 20:44:01 EST -0500 | ########## START ##########
12/14/23 20:44:02 EST -0500 | ##########  END  ##########
12/14/23 20:45:02 EST -0500 | ########## START ##########
12/14/23 20:45:02 EST -0500 | ##########  END  ##########
12/14/23 20:46:02 EST -0500 | ########## START ##########
12/14/23 20:46:03 EST -0500 | ##########  END  ##########
12/14/23 20:47:01 EST -0500 | ########## START ##########
12/14/23 20:47:02 EST -0500 | ##########  END  ##########
12/14/23 20:48:02 EST -0500 | ########## START ##########
12/14/23 20:48:02 EST -0500 | ##########  END  ##########
12/14/23 20:49:02 EST -0500 | ########## START ##########
12/14/23 20:49:03 EST -0500 | ##########  END  ##########
12/14/23 20:50:02 EST -0500 | ########## START ##########
12/14/23 20:50:03 EST -0500 | ##########  END  ##########
12/14/23 20:51:01 EST -0500 | ########## START ##########
12/14/23 20:51:02 EST -0500 | ##########  END  ##########
12/14/23 20:52:02 EST -0500 | ########## START ##########
12/14/23 20:52:03 EST -0500 | ##########  END  ##########
12/14/23 20:53:01 EST -0500 | ########## START ##########
12/14/23 20:53:02 EST -0500 | ##########  END  ##########
12/14/23 20:54:02 EST -0500 | ########## START ##########
12/14/23 20:54:03 EST -0500 | ##########  END  ##########
12/14/23 20:55:01 EST -0500 | ########## START ##########
12/14/23 20:55:02 EST -0500 | ##########  END  ##########
12/15/23 00:26:02 EST -0500 | ########## START ##########
12/15/23 00:26:02 EST -0500 | ##########  END  ##########
12/15/23 00:27:02 EST -0500 | ########## START ##########
12/15/23 00:27:03 EST -0500 | ##########  END  ##########
12/15/23 00:28:02 EST -0500 | ########## START ##########
12/15/23 00:28:02 EST -0500 | ##########  END  ##########
12/15/23 00:29:02 EST -0500 | ########## START ##########
12/15/23 00:29:03 EST -0500 | ##########  END  ##########
12/15/23 00:30:01 EST -0500 | ########## START ##########
12/15/23 00:30:02 EST -0500 | ##########  END  ##########
12/15/23 00:31:01 EST -0500 | ########## START ##########
12/15/23 00:31:02 EST -0500 | ##########  END  ##########
